                   1                   3                  47                   1
                   2                   0                  61                   1
                   3                   2                  72                   1
                   4                   4                  43                   2
                   5                   2                  55                   2
                   6                   2                  53                   2
                   7                   2                  50                   1
                   8                   3                  23                   2
                   9                   3                  45                   1
                  10                   4                  71                   1
                  11                   5                  33                   2
                  12                   4                  86                   2
                  13                   3                  32                   1
                  14                   5                  60                   2
                  15                   7                  76                   1
                  16                   2                  33                   2
                  17                   6                  56                   1
                  18                   5                  62                   2
                  19                   0                  31                   1
                  20                   2                  43                   1
                  21                   0                  58                   2
                  22                   3                  32                   2
                  23                   2                  23                   2
                  24                   2                  37                   2
                  25                   2                  25                   2
                  26                   8                  76                   2
                  27                   2                  71                   1
                  28                   0                  22                   1
                  29                   2                  74                   1
                  30                   3                  75                   2
                  31                   0                  32                   1
                  32                   2                  68                   2
                  33                   3                  55                   1
                  34                   1                  46                   1
                  35                   2                  58                   2
                  36                   0                  35                   1
                  37                   2                  59                   1
                  38                   2                  43                   2
                  39                   0                  58                   2
                  40                   1                  79                   2
                  41                   1                  40                   2
                  42                   2                  44                   2
                  43                   2                  68                   2
                  44                   0                  36                   2
                  45                   0                  70                   1
                  46                   0                  28                   1
                  47                   0                  35                   2
                  48                   0                  33                   1
                  49                   0                  23                   1
                  50                   0                  47                   2
                  51                   0                  25                   2
                  52                   2                  70                   2
                  53                   0                  20                   1
                  54                   2                  41                   1
                  55                   3                  53                   2
                  56                   2                  42                   2
                  57                   3                  40                   2
                  58                   2                  57                   2
                  59                   2                  59                   2
                  60                   3                  35                   2
                  61                   0                  26                   1
                  62                   2                  35                   1
                  63                   3                  51                   2
                  64                   3                  39                   2
                  65                   2                  27                   2
                  66                   2                  30                   1
                  67                   2                  29                   1
                  68                   6                  39                   2
                  69                   3                  60                   2
                  70                   4                  74                   2
                  71                   5                  74                   2
                  72                   2                  57                   2
                  73                   1                  80                   1
                  74                   4                  70                   1
                  75                   2                  35                   2
                  76                   4                  49                   2
                  77                   0                  36                   2
                  78                   0                  37                   2
                  79                   0                  78                   2
                  80                   0                  41                   1
                  81                   2                  42                   1
                  82                   1                  35                   2
                  83                   1                  33                   1
                  84                   3                  44                   1
                  85                   3                  41                   1
                  86                   2                  52                   1
                  87                   0                  45                   2
                  88                   1                  41                   2
                  89                   3                  41                   2
                  90                   0                  68                   1
                  91                   3                  57                   2
                  92                   3                  72                   1
                  93                   0                  68                   1
                  94                   0                  50                   1
                  95                   0                  40                   1
                  96                   0                  58                   1
                  97                   0                  43                   1
                  98                   0                  25                   1
                  99                   0                  33                   1
                 100                   0                  27                   1
                 101                   2                  58                   2
                 102                   4                  66                   2
                 103                   0                  66                   1
                 104                   2                  89                   2
                 105                   2                  29                   2
                 106                   0                  89                   2
                 107                   0                  78                   2
                 108                   3                  52                   2
                 109                   0                  50                   1
                 110                   1                  25                   2
                 111                   2                  37                   1
                 112                   2                  54                   2
                 113                   3                  52                   1
                 114                   0                  48                   1
                 115                   0                  32                   2
                 116                   0                  29                   2
                 117                   3                  75                   2
                 118                   0                  59                   2
                 119                   2                  81                   1
                 120                   3                  69                   2
                 121                   2                  55                   2
                 122                   0                  52                   2
                 123                   1                  33                   2
                 124                   2                  56                   1
                 125                   2                  71                   1
                 126                   0                  21                   1
                 127                   3                  49                   2
                 128                   0                  26                   1
                 129                   0                  33                   2
                 130                   0                  36                   1
                 131                   0                  68                   1
                 132                   2                  27                   2
                 133                   1                  60                   2
                 134                   0                  48                   1
                 135                   3                  47                   2
                 136                   0                  36                   2
                 137                   2                  89                   2
                 138                   2                  64                   2
                 139                   0                  38                   2
                 140                   1                  62                   1
                 141                   3                  62                   2
                 142                   5                  65                   2
                 143                   2                  60                   1
                 144                   1                  47                   2
                 145                   0                  62                   1
                 146                   2                  51                   2
                 147                   2                  43                   2
                 148                   2                  47                   1
                 149                   1                  57                   2
                 150                   0                  30                   1
                 151                   0                  39                   1
                 152                   0                  37                   2
                 153                   0                  52                   2
